checkpoint,location,cumulative_distance_km,distance_from_last_km,altitude_m,elevation_gain_m,elevation_loss_m,cutoff_time,available,outside_assistance,drop_bag
Start,Sa Pa,0,0,1490,,,,Water,,
CP M1,Suối Hồ,4.8,4.8,1571,302,221,,Drinks; HEED; Fruits; Snacks; Medical,,
CP M1 (ii),Suối Hồ,12.2,7.4,1571,515,506,,Drinks; HEED; Fruits; Snacks; Medical,,
CP Sa Pa,Sa Pa,16.8,4.6,1493,213,300,13:30,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
CP M2,Hang Đá,23,6.2,1462,441,471,,Drinks; HEED; Fruits; Snacks; Medical,,
CP M3,Hòa Sử Pán,29,6.0,1094,164,547,,Drinks; HEED; Fruits; Snacks; Hot food; Medical,Yes,
WS,Lếch Mông,34,5.0,1400,506,189,,Water,,
CP M4,Bản Mới,39.4,5.4,1010,133,537,20:00,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
WS,Bản Kim,44.1,4.7,626,8,392,,Water,,
CP M5,Bản Sái,51.1,7.0,1059,623,189,,Drinks; HEED; Fruits; Snacks; Hot food; Medical,Yes,Yes
CP M6,Đập Tả Thàng,56.8,5.7,256,10,813,,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
CP M7,Sín Chải B,65.6,8.8,804,690,105,4:00,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
CP M8,Nậm Sài,73.6,8.0,581,282,542,,Drinks; HEED; Fruits; Snacks; Hot food; Medical,Yes,
CP M9,Cầu Thanh Phú,80.6,7.0,402,260,439,,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
CP Topas,Topas Ecolodge,85.9,5.3,967,573,9,10:00,Drinks; HEED; Fruits; Snacks; Topas Buffet; Medical,Yes,
WS,Suối Vạn Dền,91,5.1,750,56,282,,Water,,
CP1,Cầu Lao Chải,100.2,9.2,1006,572,305,,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
WS,Ý Linh Hồ,108.4,8.2,1127,473,345,,Water,,
CP2,Cát Cát,112.7,4.3,1285,222,57,17:00,Drinks; HEED; Fruits; Snacks; Hot food; Medical,Yes,Yes
CP3,Ô Quý Hồ,120.9,8.2,1738,652,179,20:00,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
CP4,Tả Phìn,130.3,9.4,1309,649,1096,23:00,Drinks; HEED; Fruits; Snacks; Hot food; Medical,Yes,
CP5,Cầu 31,138.1,7.8,1249,380,441,1:30,Drinks; HEED; Fruits; Snacks; Hot food; Medical,Yes,
WS,Sâu Chua,142.9,4.8,1598,439,77,,Water,,
CP6,Hầu Chư Ngài,147.4,4.5,1548,184,235,4:30,Drinks; HEED; Fruits; Snacks; Hot food; Medical,,
CP7,Sử Pán,153.1,5.7,1187,166,542,6:15,Drinks; HEED; Fruits; Snacks; Hot food (from 22:00); Medical,,
WS,Lếch Mông,155.7,2.6,1400,237,15,,Water,,
Finish,Topas Ecolodge,161,5.3,948,23,502,9:00,Water; Buffet; Thom Beer; Showers; Medical,,
